taxonID	scientificName	parser_run	matchedType	matchSize	inputName	matchedName	inputCanonicalForm	matchedCanonicalForm	matchedEditDistance	inputRank	matchedRank	synonymStatus	acceptedName	matchedScore	matchTaxonID	classification
eb17d65c-9e53-51a9-8151-9ed458d598e5	Eleutherodactylus glaphycompus	1	Canonical form exact match	1	Eleutherodactylus glaphycompus	Eleutherodactylus glaphycompus Schwartz, 1973	Eleutherodactylus glaphycompus	Eleutherodactylus glaphycompus	0	species	species		Eleutherodactylus glaphycompus Schwartz, 1973	0.988	496ba4ab784ced0d94ecd3397e6c94ef	Animalia(kingdom), Chordata(phylum), Amphibia(class), Anura(order), Eleutherodactylidae(family), Eleutherodactylus(genus), Eleutherodactylus glaphycompus(species)
a3b7b605-5d72-56d9-8820-a784c6e58f24	Eleutherodactylus glaucoreius	1	Canonical form exact match	1	Eleutherodactylus glaucoreius	Eleutherodactylus glaucoreius Schwartz and Fowler, 1973	Eleutherodactylus glaucoreius	Eleutherodactylus glaucoreius	0	species	species		Eleutherodactylus glaucoreius Schwartz and Fowler, 1973	0.988	e929598292344cc4ee6773701286bf1e	Animalia(kingdom), Chordata(phylum), Amphibia(class), Anura(order), Eleutherodactylidae(family), Eleutherodactylus(genus), Eleutherodactylus glaucoreius(species)
ee3edfd1-01be-594b-8fee-1f59b0021956	Eleutherodactylus goini	1	Canonical form exact match	1	Eleutherodactylus goini	Eleutherodactylus goini Schwartz, 1960	Eleutherodactylus goini	Eleutherodactylus goini	0	species	species		Eleutherodactylus goini Schwartz, 1960	0.988	d6b1e77738a801678071fb4f6621cb2d	Animalia(kingdom), Chordata(phylum), Amphibia(class), Anura(order), Eleutherodactylidae(family), Eleutherodactylus(genus), Eleutherodactylus goini(species)
b139f6c5-f57f-5b21-8180-96770ad253d1	Eleutherodactylus gossei	1	Canonical form exact match	1	Eleutherodactylus gossei	Eleutherodactylus gossei Dunn, 1926	Eleutherodactylus gossei	Eleutherodactylus gossei	0	species	species		Eleutherodactylus gossei Dunn, 1926	0.988	b785b5d83f5e898c32ce3dbc45607467	Animalia(kingdom), Chordata(phylum), Amphibia(class), Anura(order), Eleutherodactylidae(family), Eleutherodactylus(genus), Eleutherodactylus gossei(species)
cbbc887f-9d91-5272-a93b-78c089409e3c	Eleutherodactylus grabhami	1	Canonical form exact match	1	Eleutherodactylus grabhami	Eleutherodactylus grabhami Dunn, 1926	Eleutherodactylus grabhami	Eleutherodactylus grabhami	0	species	species		Eleutherodactylus grabhami Dunn, 1926	0.988	856a5c255521f96996c77a524d10a6a8	Animalia(kingdom), Chordata(phylum), Amphibia(class), Anura(order), Eleutherodactylidae(family), Eleutherodactylus(genus), Eleutherodactylus grabhami(species)
a1e68d98-01be-51b6-a198-6245ce23a1ef	Eleutherodactylus grahami	1	Canonical form exact match	1	Eleutherodactylus grahami	Eleutherodactylus grahami Schwartz, 1979	Eleutherodactylus grahami	Eleutherodactylus grahami	0	species	species		Eleutherodactylus grahami Schwartz, 1979	0.988	fe4769be26318528e3b1ff5df3df7dcd	Animalia(kingdom), Chordata(phylum), Amphibia(class), Anura(order), Eleutherodactylidae(family), Eleutherodactylus(genus), Eleutherodactylus grahami(species)
ea27c7b2-aa78-5802-ab26-55e40e4cbff7	Eleutherodactylus greyi	1	Canonical form exact match	1	Eleutherodactylus greyi	Eleutherodactylus greyi Dunn, 1926	Eleutherodactylus greyi	Eleutherodactylus greyi	0	species	species		Eleutherodactylus greyi Dunn, 1926	0.988	4976c259a5ef2152881cf1d434ba69d8	Animalia(kingdom), Chordata(phylum), Amphibia(class), Anura(order), Eleutherodactylidae(family), Eleutherodactylus(genus), Eleutherodactylus greyi(species)
ad4fd86d-54e7-52cd-b1fe-a420e06976f9	Eleutherodactylus griphus	1	Canonical form exact match	1	Eleutherodactylus griphus	Eleutherodactylus griphus Crombie, 1986	Eleutherodactylus griphus	Eleutherodactylus griphus	0	species	species		Eleutherodactylus griphus Crombie, 1986	0.988	33d1b94f5efdc37b71a323842af6b854	Animalia(kingdom), Chordata(phylum), Amphibia(class), Anura(order), Eleutherodactylidae(family), Eleutherodactylus(genus), Eleutherodactylus griphus(species)
3ac30caf-7dd0-5275-81ec-aea069efe2bc	Eleutherodactylus gryllus	1	Canonical form exact match	1	Eleutherodactylus gryllus	Eleutherodactylus gryllus Schmidt, 1920	Eleutherodactylus gryllus	Eleutherodactylus gryllus	0	species	species		Eleutherodactylus gryllus Schmidt, 1920	0.988	b4df4559964fc2611882fe252a0e4ea1	Animalia(kingdom), Chordata(phylum), Amphibia(class), Anura(order), Eleutherodactylidae(family), Eleutherodactylus(genus), Eleutherodactylus gryllus(species)
e9c56a59-a3eb-5cc2-8a75-50d71208e15f	Eleutherodactylus guanahacabibes	1	Canonical form exact match	1	Eleutherodactylus guanahacabibes	Eleutherodactylus guanahacabibes Estrada and Rodriguez, 1985	Eleutherodactylus guanahacabibes	Eleutherodactylus guanahacabibes	0	species	species		Eleutherodactylus guanahacabibes Estrada and Rodriguez, 1985	0.988	7fe159d549fc619ffd4115578934f1d1	Animalia(kingdom), Chordata(phylum), Amphibia(class), Anura(order), Eleutherodactylidae(family), Eleutherodactylus(genus), Eleutherodactylus guanahacabibes(species)
